[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][trace] Restored [Ljava.lang.Throwable; archived mirror 0x00000007fef0c288
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][debug] Clearing root 164: was 0x00000007fef04648
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][trace] Restored java.lang.Error archived mirror 0x00000007fef04648
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][debug] Clearing root 738: was 0x00000007fef14440
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][trace] Restored [Ljava.lang.Error; archived mirror 0x00000007fef14440
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][debug] Clearing root 40: was 0x00000007fef01350
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][trace] Restored java.lang.ThreadDeath archived mirror 0x00000007fef01350
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][debug] Clearing root 162: was 0x00000007fef04558
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][trace] Restored java.lang.Exception archived mirror 0x00000007fef04558
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][debug] Clearing root 163: was 0x00000007fef045d0
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][trace] Restored java.lang.RuntimeException archived mirror 0x00000007fef045d0
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][debug] Clearing root 98: was 0x00000007fef02a38
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][trace] Restored java.lang.SecurityManager archived mirror 0x00000007fef02a38
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][debug] Clearing root 99: was 0x00000007fef02ac8
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][debug] Clearing root 106: was 0x00000007fef02e10
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][trace] Restored java.security.ProtectionDomain archived mirror 0x00000007fef02e10
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][debug] Clearing root 107: was 0x00000007fef02e88
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][debug] Clearing root 241: was 0x00000007fef068b8
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][trace] Restored [Ljava.security.ProtectionDomain; archived mirror 0x00000007fef068b8
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][debug] Clearing root 100: was 0x00000007fef02be8
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][trace] Restored java.security.AccessControlContext archived mirror 0x00000007fef02be8
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][debug] Clearing root 101: was 0x00000007fef02c60
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][debug] Clearing root 102: was 0x00000007fef02ca8
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][trace] Restored java.security.AccessController archived mirror 0x00000007fef02ca8
[2024-08-23T12:45:11.294+0530][1.934s][98688][9731][debug] Clearing root 103: was 0x00000007fef02d20
